Archive_Date,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total,Did
31-01-2019,300,Dermatology,Day Case,Child,0-15,  0-3 Months,9,30MH
31-01-2019,300,Dermatology,Day Case,Child,0-15,  3-6 Months,10,8MH
31-01-2019,300,Dermatology,Day Case,Child,16-64,  3-6 Months,1,10MH
31-01-2019,400,Endocrinology,Day Case,Child,0-15,  0-3 Months,6,12MH
31-01-2019,400,Endocrinology,Day Case,Child,0-15,  3-6 Months,3,1MH
31-01-2019,400,Endocrinology,Day Case,Child,0-15,  6-9 Months,1,22MH
31-01-2019,400,Endocrinology,Day Case,Child,16-64,  0-3 Months,1,6MH
31-01-2019,400,Endocrinology,Day Case,Child,16-64,  3-6 Months,1,9MH
31-01-2019,400,Endocrinology,Inpatient,Child,0-15,  0-3 Months,1,18MH
31-01-2019,402,Diabetes Mellitus,Inpatient,Child,0-15,  3-6 Months,1,3MH
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,0-15,  0-3 Months,28,6MH
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,0-15,  3-6 Months,13,30MH
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,0-15,  6-9 Months,6,13MH
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,0-15,  9-12 Months,4,3MH
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,0-15, 12-15 Months,2,31MH
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,0-15,18+ Months,6,5MH
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,16-64,  3-6 Months,2,15MH
31-01-2019,600,Otolaryngology (ENT),Day Case,Child,16-64,18+ Months,1,13MH
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,  0-3 Months,33,15MH
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,  3-6 Months,27,7MH
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,  6-9 Months,14,10MH
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,  9-12 Months,9,10MH
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15, 12-15 Months,1,27MH
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15, 15-18 Months,4,30MH
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,18+ Months,13,7MH
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,16-64,  0-3 Months,2,22MH
31-01-2019,600,Otolaryngology (ENT),Inpatient,Child,16-64,18+ Months,2,23MH
31-01-2019,601,Paediatric ENT,Day Case,Child,0-15,  0-3 Months,7,35MH
31-01-2019,601,Paediatric ENT,Day Case,Child,0-15,  3-6 Months,4,13MH
31-01-2019,601,Paediatric ENT,Day Case,Child,0-15,  6-9 Months,1,9MH
31-01-2019,601,Paediatric ENT,Inpatient,Child,0-15,  0-3 Months,31,16MH
31-01-2019,601,Paediatric ENT,Inpatient,Child,0-15,  3-6 Months,36,20MH
31-01-2019,601,Paediatric ENT,Inpatient,Child,0-15,  6-9 Months,10,8MH
31-01-2019,601,Paediatric ENT,Inpatient,Child,0-15,  9-12 Months,10,36MH
31-01-2019,601,Paediatric ENT,Inpatient,Child,0-15, 12-15 Months,1,8MH
31-01-2019,601,Paediatric ENT,Inpatient,Child,0-15,18+ Months,2,11MH
31-01-2019,601,Paediatric ENT,Inpatient,Child,16-64,18+ Months,1,35MH
31-01-2019,1300,Neurology,Day Case,Child,0-15,  0-3 Months,2,15MH
31-01-2019,1302,Paediatric Neurology,Day Case,Child,0-15,  0-3 Months,1,20MH
31-01-2019,1302,Paediatric Neurology,Day Case,Child,0-15,  3-6 Months,1,30MH
31-01-2019,1302,Paediatric Neurology,Day Case,Child,0-15,  6-9 Months,1,29MH
