Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total,Did
31-01-2021,601,Paediatric ENT,Child,0-15, 6-9 Months,204,30MH
31-01-2021,1302,Paediatric Neurology,Child,0-15,15-18 Months,22,8MH
31-01-2021,1302,Paediatric Neurology,Child,16-64,18 Months +,16,10MH
31-01-2021,1503,Gynaecology,Child,0-15, 0-3 Months,43,12MH
31-01-2021,1503,Gynaecology,Child,0-15, 6-9 Months,37,1MH
31-01-2021,1503,Gynaecology,Child,0-15, 9-12 Months,31,22MH
31-01-2021,1503,Gynaecology,Child,16-64, 3-6 Months,6,6MH
31-01-2021,1503,Gynaecology,Child,16-64,12-15 Months,1,9MH
31-01-2021,1700,Ophthalmology,Child,0-15,15-18 Months,156,18MH
31-01-2021,1700,Ophthalmology,Child,16-64,18 Months +,88,3MH
31-01-2021,1802,Paed Orthopaedic,Child,0-15,15-18 Months,264,6MH
31-01-2021,1802,Paed Orthopaedic,Child,0-15,18 Months +,772,30MH
31-01-2021,1802,Paed Orthopaedic,Child,16-64, 0-3 Months,17,13MH
31-01-2021,1802,Paed Orthopaedic,Child,16-64, 9-12 Months,18,3MH
31-01-2021,1900,Paediatrics,Child,0-15,15-18 Months,75,31MH
31-01-2021,1900,Paediatrics,Child,16-64, 0-3 Months,15,5MH
31-01-2021,1900,Paediatrics,Child,16-64,15-18 Months,4,15MH
31-01-2021,1900,Paediatrics,Child,16-64,18 Months +,35,13MH
31-01-2021,1902,Paed Cardiology,Child,0-15, 0-3 Months,491,15MH
31-01-2021,1902,Paed Cardiology,Child,0-15, 3-6 Months,388,7MH
31-01-2021,1902,Paed Cardiology,Child,0-15,12-15 Months,73,10MH
31-01-2021,1902,Paed Cardiology,Child,16-64, 0-3 Months,23,10MH
31-01-2021,1902,Paed Cardiology,Child,16-64, 6-9 Months,26,27MH
31-01-2021,1902,Paed Cardiology,Child,16-64, 9-12 Months,20,30MH
31-01-2021,1902,Paed Cardiology,Child,16-64,12-15 Months,9,7MH
31-01-2021,1905,Paed Endocrinology,Child,16-64,15-18 Months,10,22MH
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64,15-18 Months,6,23MH
31-01-2021,1907,Paed Haematology,Child,0-15, 6-9 Months,28,35MH
31-01-2021,1910,Paed Metabolic Medicine,Child,16-64,18 Months +,2,13MH
31-01-2021,1911,Paed Nephrology,Child,0-15, 6-9 Months,41,9MH
31-01-2021,1911,Paed Nephrology,Child,0-15, 9-12 Months,48,16MH
31-01-2021,1911,Paed Nephrology,Child,0-15,18 Months +,41,20MH
31-01-2021,1911,Paed Nephrology,Child,16-64, 0-3 Months,2,8MH
31-01-2021,1911,Paed Nephrology,Child,16-64, 3-6 Months,1,36MH
31-01-2021,1911,Paed Nephrology,Child,16-64, 9-12 Months,3,8MH
31-01-2021,1911,Paed Nephrology,Child,16-64,12-15 Months,2,11MH
31-01-2021,1912,Paediatric Respiratory Medicine,Child,0-15,15-18 Months,119,35MH
31-01-2021,1912,Paediatric Respiratory Medicine,Child,16-64,15-18 Months,11,15MH
31-01-2021,1915,Paediatric Dermatology,Child,0-15, 0-3 Months,488,20MH
31-01-2021,1915,Paediatric Dermatology,Child,0-15, 6-9 Months,228,30MH
31-01-2021,1915,Paediatric Dermatology,Child,0-15, 9-12 Months,217,29MH
31-01-2021,1915,Paediatric Dermatology,Child,16-64, 3-6 Months,14,13MH
31-01-2021,1915,Paediatric Dermatology,Child,16-64, 6-9 Months,18,29MH
31-01-2021,1915,Paediatric Dermatology,Child,16-64,12-15 Months,21,13MH
31-01-2021,1916,Developmental Paediatrics,Child,0-15, 6-9 Months,30,21MH
31-01-2021,2000,Plastic Surgery,Child,16-64,15-18 Months,10,6MH
31-01-2021,2000,Plastic Surgery,Child,16-64,18 Months +,37,10MH
31-01-2021,2102,Child/Adolescent Psychiatry,Child,16-64, 0-3 Months,4,33MH
31-01-2021,2500,Rheumatology,Child,0-15, 0-3 Months,83,26MH
31-01-2021,2500,Rheumatology,Child,0-15, 9-12 Months,52,14MH
31-01-2021,2500,Rheumatology,Child,0-15,18 Months +,386,3MH
31-01-2021,2500,Rheumatology,Child,16-64, 0-3 Months,4,21MH
31-01-2021,601,Paediatric ENT,Child,0-15, 0-3 Months,422,14MH
31-01-2021,601,Paediatric ENT,Child,0-15, 3-6 Months,321,31MH
31-01-2021,601,Paediatric ENT,Child,0-15,12-15 Months,473,35MH
31-01-2021,601,Paediatric ENT,Child,0-15,15-18 Months,392,19MH
31-01-2021,601,Paediatric ENT,Child,16-64, 6-9 Months,9,22MH
31-01-2021,601,Paediatric ENT,Child,16-64,15-18 Months,26,27MH
31-01-2021,1302,Paediatric Neurology,Child,0-15,18 Months +,73,18MH
31-01-2021,1302,Paediatric Neurology,Child,16-64, 0-3 Months,7,34MH
31-01-2021,1302,Paediatric Neurology,Child,16-64, 3-6 Months,3,35MH
31-01-2021,1302,Paediatric Neurology,Child,16-64,15-18 Months,3,26MH
31-01-2021,1503,Gynaecology,Child,16-64, 9-12 Months,1,16MH
31-01-2021,1700,Ophthalmology,Child,16-64, 9-12 Months,8,24MH
31-01-2021,1802,Paed Orthopaedic,Child,0-15, 9-12 Months,299,36MH
31-01-2021,1802,Paed Orthopaedic,Child,16-64,18 Months +,130,34MH
31-01-2021,1900,Paediatrics,Child,0-15, 0-3 Months,1005,27MH
31-01-2021,1900,Paediatrics,Child,0-15,18 Months +,228,29MH
31-01-2021,1900,Paediatrics,Child,16-64, 3-6 Months,18,16MH
31-01-2021,1900,Paediatrics,Child,16-64, 6-9 Months,7,35MH
31-01-2021,1900,Paediatrics,Child,16-64,12-15 Months,8,34MH
31-01-2021,1902,Paed Cardiology,Child,0-15, 9-12 Months,200,4MH
31-01-2021,1902,Paed Cardiology,Child,0-15,18 Months +,120,13MH
31-01-2021,1902,Paed Cardiology,Child,16-64,18 Months +,18,24MH
31-01-2021,1902,Paed Cardiology,Child,65+, 0-3 Months,1,35MH
31-01-2021,1903,Paed Oncology,Child,0-15, 9-12 Months,2,14MH
31-01-2021,1904,Neonatology,Child,0-15, 0-3 Months,9,18MH
31-01-2021,1904,Neonatology,Child,0-15, 3-6 Months,4,13MH
31-01-2021,1904,Neonatology,Child,0-15,12-15 Months,1,20MH
31-01-2021,1905,Paed Endocrinology,Child,0-15, 9-12 Months,41,19MH
31-01-2021,1905,Paed Endocrinology,Child,16-64,18 Months +,8,32MH
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64,18 Months +,64,5MH
31-01-2021,1907,Paed Haematology,Child,16-64, 9-12 Months,4,25MH
31-01-2021,1907,Paed Haematology,Child,16-64,18 Months +,1,5MH
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15, 9-12 Months,13,32MH
31-01-2021,1910,Paed Metabolic Medicine,Child,0-15, 0-3 Months,31,17MH
31-01-2021,1910,Paed Metabolic Medicine,Child,0-15, 3-6 Months,24,9MH
31-01-2021,1910,Paed Metabolic Medicine,Child,0-15, 6-9 Months,5,13MH
31-01-2021,1910,Paed Metabolic Medicine,Child,0-15,12-15 Months,1,8MH
31-01-2021,1910,Paed Metabolic Medicine,Child,0-15,18 Months +,2,18MH
31-01-2021,1910,Paed Metabolic Medicine,Child,16-64, 0-3 Months,1,4MH
31-01-2021,1911,Paed Nephrology,Child,16-64,18 Months +,7,8MH
